date,idx,code,shares,sharesChg,sharesChgRatio,nav,closePrice,changePct,turnoverRate,turnoverValue,turnoverVolume,disc,discountRatioCurve,avgDiscountRatioCurve,size,totalMV,totalAssets,stockRatio,bondRatio,ytdReturn,ytdMaxDrawdown,return1M,return3M,return6M,return1Y,return3Y,maxDrawdown1M,maxDrawdown3M,maxDrawdown6M,maxDrawdown1Y,maxDrawdown3Y,indexDailyChange,index1YReturn,holderAccount,institutionHolderRatio,individualHolderRatio,prlistTop20Ratio,isTPlus0
2026-06-24,沪深300,sh510300,24676687700,-1708200000,-6.92,4.95,4.97,0.51,10.50,12839317641,,-0.05,,,122075574051.90,122569000000,200092908189.41,22.93,0,-7.63,,-4.69,-5.54,-7.63,-7.63,-21.95,0.44,0.44,0.44,0.49,3.42,,,0,0,0,36.60,
2026-06-24,沪深300,sh510310,17021444000,-1359000000,-7.98,4.80,4.82,0.44,8.34,6819091157,,0.07,,,81633143279.60,81992000000,137426933234.62,23.23,0,-7.57,,-4.59,-5.44,-7.57,-7.57,-21.79,0.46,0.46,0.46,0.46,1.58,,,0,0,0,37.73,
2026-06-24,沪深300,sh510330,11727249800,-1026000000,-8.75,5.15,5.18,0.50,10.94,6624038748,,0.16,,,60441072744.22,60700000000,90331420930.59,23.28,0,-7.65,,-4.63,-5.45,-7.65,-7.65,-21.03,0.51,0.73,0.73,0.73,3.03,,,0,0,0,35.58,
2026-06-24,沪深300,sz159919,9492516676,-872100000,-9.19,5.16,5.18,0.35,10.88,5333093994,,-0.12,,,48967147273.15,49152000000,93081381417.62,23.25,0,-7.55,,-4.64,-5.62,-7.55,-7.55,-21.37,0.19,0.29,0.29,0.39,3.07,,,0,0,0,35.85,
2026-06-24,上证50,sh510050,7343766800,-73800000,-1,3.01,3.02,0.63,17.62,3902844815,,-0.08,,,22084909897.64,22208000000,66750104213.97,45.53,0,-11.34,,-4.76,-7.11,-11.34,-11.34,-17.91,0.13,0.13,0.27,0.27,1.96,,,0,0,0,71.45,
2026-06-24,中证500,sh510500,4325768600,-138000000,-3.19,8.82,8.98,1.93,6.54,2510299817,,-0.12,,,38168851818.96,38867000000,72830564772.30,6.67,0,-14.02,,-8.17,-10.45,-14.02,-14.02,-28.43,0.36,0.36,0.47,0.47,3.85,,,0,0,0,21.13,
2026-06-24,中证1000,sh512100,3209217600,30000000,0.93,3.51,3.55,1.17,27.51,3109888511.00,,0,,,11253121514.40,11396000000,23271942274.97,4.37,0,-13.52,,-7.94,-9.45,-13.52,-13.52,-35.87,0.41,0.41,0.41,0.41,4,,,0,0,0,12.12,
2026-06-24,上证180,sh510180,4604057700,-35500000,-0.77,4.09,4.12,0.73,1.40,265040470,,0.17,,,18821848283.37,18955000000,21573550251.59,24.40,0,-10.27,,-6.06,-7.43,-10.27,-10.27,-19.56,0.64,0.64,0.64,0.64,1.06,,,0,0,0,42.06,
2026-06-24,上证380,sh530380,154705000,-4000000,-2.59,1.17,1.18,1.55,5.52,10031372,,-0.07,,,180401500.50,182000000,252602850.27,10.61,0,-12.62,,-6.96,-8.54,-12.62,-12.62,-12.62,0.36,0.36,0.55,0.55,0.55,,,0,0,0,21.02,
2026-06-24,深证100,sz159901,943534930,5600000,0.59,4.06,4.09,0.59,13.03,499547668,,-0.14,,,3832921946.14,3860000000,6172049623.57,42.61,0,-6.30,,-6.30,-6.30,-6.30,-8.99,-28.56,0.19,0.21,0.35,0.35,0.86,,,0,0,0,60.94,
2026-06-24,深证50,sz159150,86997623,1000000,1.15,1.77,1.78,0.45,4.86,7510459,,-0.20,,,154064090.57,155000000,136331799.21,54,0,-7.49,,-6.36,-6.36,-7.49,-8.80,-22.49,0.42,0.42,0.42,0.44,0.44,,,0,0,0,74.46,
2026-06-24,中证A500,sz159338,18572086664,6000000,0.03,1.31,1.32,0.84,17.44,4264822904,,-0.11,,,24385149789.83,24608000000,29160389016.98,20.29,0,-8.30,,-5.98,-7.10,-8.30,-8.30,-14.83,0.22,0.33,0.33,0.43,0.55,,,0,0,0,33.13,
2026-06-24,中证A500,sz159339,1679086841,3000000,0.18,1.32,1.33,1.06,4.40,98238601,,-0.17,,,2221935616.70,2242000000,2565238989.48,20.11,0,-8.01,,-5.87,-7.06,-8.01,-8.01,-15.32,0.36,0.36,0.98,0.98,0.98,,,0,0,0,32.87,
2026-06-24,中证A500,sz159353,2903161812,-15000000,-0.52,1.33,1.34,0.98,5.30,205037361.00,,-0.01,,,3856269834.88,3893000000,4000666322.15,20.13,0,-8.44,,-5.84,-7.10,-8.44,-8.44,-14.29,0.83,0.83,0.83,0.83,0.83,,,0,0,0,32.75,
2026-06-24,上证指数,sh510760,2111503700,51000000,2.42,1.33,1.33,-0.08,6.36,178253490.00,,0.10,,,2808511071.37,2813000000,2744481744.14,19.57,0,-9.04,,-5.22,-7.47,-9.04,-9.04,-17.98,0.42,0.42,0.42,0.46,4.97,,,0,0,0,31.08,
2026-06-24,中证A50,sz159591,365405682,-4500000,-1.23,1.40,1.40,0.22,9.39,48036903,,-0.26,,,509814007.53,511000000.00,536229854.18,55.46,0,-7.86,,-4.81,-5.73,-7.86,-7.86,-16.69,0.21,0.21,0.49,0.49,1.52,,,0,0,0,76.57,
2026-06-24,国证2000,sz159628,284283250,39000000,13.72,1.53,1.54,0.98,29.52,128004197,,0.18,,,433674097.88,439000000.00,520208757.58,6,0,-14.71,,-8.46,-10.35,-14.71,-14.71,-34.24,0.30,0.51,0.60,0.60,2.55,,,0,0,0,10.53,
